Lambda,dvdl,#Frame,D248_chi1,D248_chi2,V249_chi1,V249_chi2,N250_chi1,N250_chi2,T251_chi1,S272_chi1,S285_chi1,R286_chi1,R286_chi2,R286_chi3,R286_chi4,R286_chi5,S287_chi1,D290_chi1,D290_chi2,F291_chi1,F291_chi2,T292_chi1,weight_dvdl
1,-36.5935,26.0,-76.9035,-3.3887,52.7041,119.3793,54.7721,-98.9424,38.5002,66.9399,-70.7165,-69.4756,-172.6231,-67.1071,158.2751,-9.3382,61.7406,-175.1613,-165.5392,-172.9747,-83.6656,59.6742,-0.863240665
1,-32.8481,27.0,-73.8508,-55.5233,54.1404,124.2295,61.4768,-82.9479,17.5507,72.3848,-55.0627,-49.1551,-156.2387,-65.0277,-177.0774,-8.3038,56.9112,-166.457,161.6092,170.052,-68.2789,65.5249,-0.7748866790000001
1,-33.9882,28.0,-66.9148,-27.2694,57.8421,122.0243,56.7895,-104.2707,61.2806,54.5576,-75.4891,-70.8165,-168.6085,-32.6176,158.3581,7.7718,59.5267,-160.9892,148.5139,177.7401,-92.6887,56.2404,-0.801781638
1,-48.55,29.0,-64.7897,-33.5606,168.0215,123.4501,63.3217,-56.0785,56.7905,67.8907,-75.1507,-55.8889,-164.3957,-70.4707,160.336,2.8965,81.1569,-172.2155,159.5582,-177.8247,-57.8634,58.9386,-1.1452944999999999
1,-41.9233,30.0,-65.8252,-26.7261,56.3373,122.1648,43.8624,-82.1795,55.3552,59.7796,-61.2194,-59.8366,-159.2015,-61.0721,175.3457,-7.9195,63.2416,-179.3513,171.212,-165.5132,-81.0227,62.5052,-0.9889706469999999
1,-28.7703,31.0,-72.2105,-40.9579,53.6531,121.891,32.893,-67.6638,39.4328,50.6142,-66.1941,-60.0961,151.6449,52.2243,86.0681,-19.9662,54.4816,-165.0472,-166.826,-158.0199,-84.8583,66.1084,-0.6786913769999999
1,-34.2606,32.0,-65.113,-36.2659,70.6435,127.4055,60.1856,-118.9096,56.842,66.8113,-48.4867,-77.5382,145.5684,64.7975,111.8871,-0.3075,55.1086,-179.4527,168.174,178.1584,-76.8708,60.2796,-0.8082075539999999
1,-37.9422,33.0,-73.5246,-14.059,63.034,123.0426,45.8489,-98.6734,49.0885,60.5675,-55.008,-49.7561,-171.9031,-49.7227,161.9296,15.1207,70.9571,-171.6654,-173.7361,-160.3335,-63.5995,48.0432,-0.895056498
1,-29.9519,34.0,-77.7371,-60.686,52.8675,122.9722,71.986,-141.9922,57.1105,62.243,-78.2682,-59.0136,-160.6642,-60.7615,-156.3759,8.8366,63.5806,-177.1959,172.2381,177.5491,-67.262,56.3878,-0.7065653209999999
1,-34.8662,35.0,-66.3856,-18.2304,36.4619,127.8624,50.047,-78.6899,64.1558,58.95,-49.6596,-35.7781,-173.0834,-75.5617,99.3395,-4.347,68.5782,175.2145,-170.6262,178.0405,-96.1767,63.1862,-0.822493658
1,-36.9023,36.0,-72.2591,-22.4695,59.2461,130.0504,61.3321,-107.5157,68.8123,51.6903,-74.0135,-37.9795,-161.4913,-53.4834,175.5857,-7.4622,60.0002,-172.5178,-165.35,-173.3817,-86.078,44.801,-0.8705252569999999
1,-25.542,37.0,-66.6763,-37.8104,42.1628,125.094,47.9962,-116.4223,30.9463,74.7553,-68.7213,-47.3592,-156.983,-63.7987,173.1041,-8.887,53.2247,-166.8413,175.3348,-179.1215,-71.1282,55.6869,-0.6025357800000001
1,-37.244,38.0,-60.9457,-40.7545,49.6428,123.5259,51.956,-93.0247,65.7296,52.1931,-73.8711,-60.9048,164.8301,-59.1609,113.0879,12.4402,46.4701,-168.5915,152.7541,-173.9334,-73.596,59.8972,-0.87858596
1,-30.5022,39.0,-58.817,-31.3845,53.2923,119.2651,52.5258,-97.1669,53.881,52.5391,-63.8065,-61.3221,-163.1539,-52.0337,178.4638,15.7913,51.8522,-174.3595,157.1556,-175.4831,-89.2797,52.5822,-0.7195468979999999
1,-43.0062,40.0,-67.4595,-62.6825,43.4326,117.9003,49.1021,-92.2691,47.7035,57.3246,-45.0145,-52.4411,-172.2929,-44.4225,171.2053,-14.0816,69.8742,-171.8574,-176.3624,-167.3147,-88.9977,49.1846,-1.014516258
1,-35.9787,41.0,-83.468,-73.7361,75.9511,129.5273,52.7539,-90.2613,50.8634,41.0347,-80.0419,-43.8184,-149.2453,-60.0124,177.552,1.0625,63.06,-165.4864,171.3809,-171.832,-84.5761,70.6239,-0.8487375330000001
1,-36.3978,42.0,-83.6591,-16.384,52.9304,126.9433,59.1074,-115.8074,49.3162,55.3631,-55.4872,-49.9749,-171.6844,-50.6051,164.376,10.1663,55.9546,-151.5162,146.316,172.4934,-58.4765,57.0952,-0.858624102
1,-32.7536,43.0,-79.9635,-13.7331,57.4846,123.0201,45.9268,-110.7974,42.1272,50.8807,-63.3303,-55.9541,-152.331,-70.6351,-167.6758,4.8747,64.3218,-153.2999,161.5784,-175.5967,-74.3203,58.5934,-0.7726574239999999
1,-32.6369,44.0,-51.1056,-107.6424,65.9816,125.6515,67.1166,-84.8239,61.746,66.0844,-61.3004,-51.5725,-165.8103,-55.7565,159.1516,-4.7207,50.9319,-163.2466,-177.7708,-172.5564,-71.0482,57.2225,-0.7699044709999999
1,-46.9094,45.0,-72.3052,-62.839,55.2621,131.1139,45.4556,-105.8714,59.5009,68.2198,-62.4588,-48.3015,-169.0471,-47.0886,-178.7164,-5.2107,62.3847,-163.8477,176.9725,-156.7543,-94.3904,65.1167,-1.106592746
1,-38.252,46.0,-62.7205,-50.2868,63.1299,135.8507,57.9017,-74.774,56.7343,55.3558,-68.7533,-56.2135,-172.946,-27.7567,160.5117,-1.094,65.069,-179.0962,179.6778,-179.3444,-78.2518,61.3928,-0.90236468
1,-31.481400000000004,47.0,-65.2842,-27.9973,69.4681,124.2954,49.3769,-90.6351,61.4314,61.0045,-60.3978,-64.3174,120.8351,72.5381,88.4147,6.363,57.9792,179.9575,-164.1405,-179.719,-85.2207,72.083,-0.7426462260000001
1,-31.1626,48.0,-73.5828,-66.2052,51.674,134.5539,67.7842,-107.5492,61.2845,58.3558,-61.5002,-59.159,-161.3131,-47.6178,-178.4672,8.7592,57.1514,-174.9693,174.2549,174.1834,-69.7532,63.8726,-0.735125734
1,-38.0449,49.0,-90.7324,-1.2621,64.5002,126.3737,54.0677,-76.8816,60.3819,59.7273,-64.0598,-55.7495,-164.5454,-50.5464,159.2202,3.8486,72.843,174.4923,172.6692,-168.8538,-88.7648,58.5623,-0.897479191
1,-32.4987,50.0,-70.2536,-10.8542,66.4078,124.5557,66.37,57.468,66.9344,73.5492,-63.2709,-65.8864,-175.7145,-48.1317,150.9301,18.8605,68.2254,-167.1087,165.7994,-160.6728,-58.2804,51.4637,-0.766644333
1,-26.5603,51.0,-77.0271,26.408,74.3068,113.0559,67.5026,-54.0409,58.9543,66.6062,-51.8,-38.5707,-148.2433,-77.3342,162.7138,12.0354,62.5945,-175.2578,163.1342,177.2726,-74.52,53.9871,-0.6265574770000001
1,-29.554,52.0,-65.7549,-25.6656,54.9824,122.4923,71.0158,-32.1562,57.7089,70.9721,-53.5511,-53.3416,-168.8316,-42.299,153.1501,-1.0488,77.4611,-177.6937,164.6115,-167.498,-70.3089,45.8787,-0.69717886
1,-35.7654,53.0,-76.1842,-17.1572,72.452,125.6008,66.1821,21.4855,70.3344,62.9132,-78.726,-57.5199,175.7988,-40.4312,164.5856,-11.3431,70.3057,-159.4386,-159.8857,-177.3106,-78.4763,58.1665,-0.843705786
1,-37.7026,54.0,-69.1499,1.5207,56.0918,120.5393,59.8497,86.3551,67.9306,67.7656,-66.9168,-70.4002,-166.1099,-36.4606,151.1427,3.9372,65.5284,-176.1495,169.484,-178.3435,-74.2882,47.0351,-0.889404334
1,-35.3261,55.0,-82.2915,-7.0319,50.08,123.6816,58.0241,74.9854,75.6126,58.4468,-47.3386,-60.2049,-161.3297,-43.8124,163.6164,3.8041,51.9516,-161.8902,171.362,-157.4903,-86.3185,63.6369,-0.8333426989999999
1,-37.5513,56.0,-174.3808,71.2623,48.6138,118.565,76.2174,63.0756,37.9353,76.6059,-56.522,-89.6946,158.2262,63.8366,121.4173,-14.9281,61.5598,-170.6944,-178.0405,173.4241,-88.5836,54.4951,-0.885835167
1,-40.163,57.0,-176.8276,60.588,48.1953,128.455,65.1628,50.6032,88.3618,57.5992,-42.9783,-63.3515,160.2293,42.2585,89.9013,2.1576,68.8987,-166.5961,167.0798,170.0007,-78.494,64.1922,-0.94744517
1,-38.5755,58.0,179.921,78.3275,57.0037,125.0345,48.9891,64.2632,76.1008,56.7436,-54.6432,-61.6248,157.244,50.0113,112.0211,2.4599,70.6983,177.8329,-158.8001,-160.8726,-100.1171,54.1544,-0.909996045
1,-31.5754,59.0,172.1927,72.5766,68.4159,127.0002,55.7512,80.2067,38.603,55.3465,-55.7891,-69.402,150.6877,56.5416,97.8681,-3.8773,63.9909,-177.2712,-174.3211,-177.3362,-103.1228,63.9268,-0.744863686
1,-33.3298,60.0,172.573,93.2128,64.7941,126.8781,78.2948,93.7948,49.5504,57.5496,-55.1592,-70.4795,-173.6147,-58.1259,128.0699,10.0903,78.1259,179.3672,153.0847,-162.8364,-82.1691,57.0667,-0.786249982
1,-38.0492,61.0,178.4251,50.6758,76.5216,121.0688,96.2229,105.9719,74.1991,61.6615,-79.3342,-47.187,-168.9737,-61.5677,-161.9877,-15.9557,51.0155,179.8167,-179.9501,176.1277,-57.3101,73.1629,-0.8975806279999999
1,-46.5197,62.0,-148.246,63.6016,54.5101,121.2216,44.0877,65.9519,45.0099,63.3556,-53.6171,-58.1616,-157.7162,-45.0594,174.3024,5.7055,60.8989,-174.2181,168.1889,-174.1488,-98.2253,73.885,-1.097399723
1,-30.702800000000003,63.0,-179.5088,71.5808,45.9509,125.9257,57.0637,73.9157,55.1134,54.5097,-28.8934,-64.1612,-162.5693,-46.3335,177.2559,10.3457,68.9708,-174.6921,-173.8052,-149.512,-83.6504,51.3952,-0.7242790520000001
1,-24.9883,64.0,-155.1719,63.3364,62.2347,122.1603,64.3283,65.8758,52.1096,53.443,-65.0203,-63.7223,-168.977,-38.8768,-179.887,2.8268,77.8348,-167.9943,170.1414,178.8535,-68.6913,34.1711,-0.5894739969999999
1,-35.1213,65.0,-172.1899,71.6563,56.1585,125.1403,66.6451,63.7324,69.444,58.7458,-53.0806,-58.2023,176.6382,-34.8173,150.9651,-5.1069,87.6426,-174.5647,175.0958,-156.0518,-73.8897,54.9512,-0.828511467
1,-34.1997,66.0,162.9496,72.0955,64.6682,124.9264,79.8357,29.1727,58.4972,65.4765,-70.7717,-54.9348,-160.9262,-42.6732,153.1567,2.1792,62.6973,-155.9052,158.6983,-165.1429,-68.0661,58.6943,-0.806770923
1,-31.0051,67.0,-168.066,5.7071,66.2573,124.5924,47.2274,67.5068,59.3547,64.61,-58.2222,-52.8824,-176.3782,-46.0427,136.1985,-5.7823,-70.3517,-169.4644,170.3168,-178.9428,-93.7529,37.3006,-0.7314103089999999
1,-31.0561,68.0,-171.8896,76.2406,54.2927,125.5633,56.2665,64.6327,51.8338,46.0524,-52.8562,-53.8303,-170.6049,-46.2572,158.483,3.7819,-177.164,-176.9509,-165.4333,-166.2775,-91.8343,35.8026,-0.732613399
1,-34.4154,69.0,-164.9328,90.8329,58.2367,122.8652,75.9101,79.2675,53.5374,60.0774,-65.6644,-63.3679,-171.8619,-24.7536,146.0139,8.318,-170.7522,-166.0113,168.0089,175.2687,-77.5972,38.6515,-0.8118592859999999
1,-30.1152,70.0,-168.7934,53.4142,58.3974,122.1866,61.04,51.2659,60.397,44.104,-69.2777,-69.358,150.1965,56.6368,99.3694,2.3761,-174.593,-175.6062,165.2756,171.3925,-79.0628,47.5419,-0.710417568
1,-30.3435,71.0,-157.7174,60.7555,66.9642,130.6637,56.1158,107.5028,82.5683,63.5655,-58.3488,-55.5601,-171.3369,-49.2148,173.9703,-1.0675,163.0549,179.3813,-169.3282,-172.7657,-72.6519,55.0855,-0.715803165
1,-35.4982,72.0,-177.9757,-122.8587,56.6368,119.403,46.7596,-56.753,52.8977,74.9047,-54.543,-47.3741,-162.953,-55.1186,166.8927,13.2311,163.5484,-178.7658,179.386,171.2603,-89.4314,64.4366,-0.837402538
1,-40.7331,73.0,-178.3589,174.6879,58.7952,119.0728,67.0762,-105.7194,79.1626,56.7184,-71.6493,50.3104,-179.143,-74.4877,134.7593,-18.8389,173.7951,-171.3562,163.7307,-171.4385,-89.5595,52.3044,-0.960893829
1,-37.8673,74.0,-162.3714,-143.373,71.7978,121.385,48.5222,-66.9969,37.9441,47.394,-51.4838,-47.4325,-166.5927,-65.9501,127.9074,21.3527,-172.4404,-161.4853,177.2811,-142.9718,-82.6331,51.979,-0.893289607
1,-57.40820000000001,75.0,-179.4519,-146.2371,177.2059,124.0137,68.7039,-45.5001,69.4884,62.4015,-66.2677,-43.2094,-164.9573,-73.2638,145.9867,11.8069,161.7186,-172.9545,155.9723,-168.9929,-65.9338,43.744,-1.3542594380000001
1,-35.7697,76.0,-158.0874,-130.5539,47.9895,130.0057,110.0555,22.486,67.1335,68.8206,-60.0832,-44.3502,-167.4141,-55.6264,175.9158,-6.8184,171.0196,-174.7379,177.7192,-171.8293,-98.7616,48.1899,-0.843807223
1,-47.122800000000005,77.0,176.5101,-104.9102,57.8451,132.1688,153.4941,-72.1505,44.4156,65.3871,-39.4925,-43.9074,-168.6613,-54.9833,161.4419,5.0849,166.2041,177.1929,157.9911,-160.2763,-81.0604,54.2631,-1.111626852
1,-46.1957,78.0,-174.7858,-112.5601,50.0312,116.0647,177.3044,-49.8964,64.949,77.423,-62.3413,-38.2867,-170.8431,-56.3709,152.2337,2.7666,163.0356,-158.9723,155.215,-161.5814,-94.2154,67.5115,-1.0897565630000001
1,-43.6553,79.0,-159.6401,-121.8673,62.3048,123.2334,171.1157,-45.8127,60.0206,57.7543,-75.2864,-48.305,-178.4184,-48.1743,172.6918,5.3522,69.3914,-161.0677,154.5906,-166.8242,-79.3341,44.0901,-1.0298285269999998
1,-32.7508,80.0,176.2083,96.2804,63.7876,125.861,162.2789,-83.4408,59.9299,61.0042,-77.38,-65.3872,-166.9021,-51.3516,156.6881,11.1922,82.0404,-161.3103,165.7436,-169.7337,-78.4412,30.6076,-0.7725913719999999
1,-34.3265,81.0,170.6101,75.9682,67.6471,120.5614,164.324,76.5564,62.059,59.8913,-76.0226,-53.5631,-171.399,-52.7459,147.5796,16.5952,54.1482,-174.0633,169.5594,179.1412,-54.5189,45.2066,-0.809762135
1,-35.0201,82.0,-175.3897,67.3566,59.1002,122.2057,169.1795,22.7174,51.2627,65.4638,-51.4492,-66.3938,147.4812,56.8562,138.9622,3.85,68.1558,-173.9697,171.6819,-162.9748,-85.1724,52.9936,-0.826124159
1,-42.8466,83.0,175.6625,63.2365,54.6091,129.1207,-178.1383,-21.3324,49.9581,42.9286,-63.9426,-72.0954,-156.6544,-55.8988,152.927,25.5805,46.1229,-174.8257,-174.3547,-179.1226,-74.5533,51.1711,-1.010751294
1,-37.8066,84.0,-153.1817,44.2041,54.8678,120.5267,164.3299,-22.8162,154.7143,64.0141,-54.765,-60.9067,-153.9376,-61.4738,-179.2005,-1.8592,41.879,-165.9601,140.8226,178.5489,-77.9868,48.0551,-0.891857694
1,-48.1889,85.0,-177.3504,73.6535,55.9465,116.5378,-179.1433,-68.832,166.0664,61.1833,-62.9332,-40.013,-176.1435,-48.5806,145.2493,4.2703,63.5271,-166.3886,172.1864,-154.4549,-72.4734,59.6882,-1.1367761509999998
1,-29.252500000000005,86.0,-167.3991,66.0808,125.9847,130.8197,168.3753,-11.1088,152.6686,39.8013,-58.5538,-69.0522,-168.0365,-47.4155,149.1687,7.9965,57.4812,-165.7489,-169.2069,-176.4871,-75.4074,51.2793,-0.6900664750000001
1,-42.6685,87.0,-176.2838,92.1256,137.2385,129.6723,166.8093,-18.9336,165.0691,56.8791,-62.274,-53.2798,175.9714,-62.1962,141.2664,18.3023,55.5611,-173.6175,149.9039,-158.3048,-64.0778,62.2276,-1.0065499150000001
1,-51.77120000000001,88.0,-178.5661,83.3332,-176.8301,124.3059,151.7694,-52.4191,174.9945,70.5367,-62.0541,-55.8523,-165.3565,-57.8978,179.1708,-19.2807,62.8698,-175.5974,-167.7224,-160.2673,-68.9838,49.1534,-1.221282608
1,-31.3542,89.0,165.5245,-154.7298,156.8465,121.6552,179.6167,-72.1533,149.8217,58.6017,-35.3401,-60.8509,-175.6412,-47.6128,159.0849,3.4016,55.7945,-164.372,159.769,-161.8465,-61.6822,69.5793,-0.739645578
1,-63.9605,90.0,172.9865,179.2683,42.3671,127.2802,154.5277,-87.0722,147.9445,71.8862,-60.7789,-48.2217,-157.1251,-56.1767,150.2107,9.8598,57.9652,-175.9248,-156.7083,-170.6654,-52.532,67.2086,-1.508828195
1,-29.284900000000004,91.0,-170.819,-164.5393,67.6674,124.5914,-176.1814,70.8635,176.5274,67.9446,-64.9317,-45.4572,179.4505,-61.5075,149.9888,0.8421,63.405,-159.3184,124.3369,-172.733,-70.9272,57.9521,-0.6908307910000001
1,-44.35680000000001,92.0,179.205,-67.0567,43.3105,122.3302,174.3074,-25.2001,173.9317,70.7018,-64.4848,-45.1664,-168.5023,-43.3418,172.9549,8.5791,67.6584,-172.1147,-176.8413,168.6557,-67.9581,61.1697,-1.0463769120000002
1,-36.7985,93.0,168.1645,44.9284,63.9793,133.2646,169.8944,-6.2849,161.1719,61.7879,-68.5166,-57.8252,-154.1644,-66.3079,-172.5027,3.6105,59.3723,-168.2003,176.5732,-168.9552,-70.9973,40.0523,-0.8680766149999999
1,-35.9056,94.0,-175.9933,-23.7271,67.6145,116.5692,150.982,65.2225,156.0263,46.2983,-45.9052,-58.1197,-159.9991,-45.1737,-165.5,11.22,57.1286,177.6244,-173.354,174.417,-79.6399,52.7087,-0.847013104
1,-50.8601,95.0,-177.3918,83.1282,80.6088,127.0962,-179.7064,105.2957,171.8785,48.7459,-70.2662,-59.7215,-157.3423,-58.1076,141.5731,7.9536,42.5504,-175.7885,-177.8211,-167.6114,-85.1552,62.1026,-1.199789759
1,-34.3994,96.0,-168.5332,38.8913,57.0166,123.1588,178.8695,106.5064,162.3197,66.1611,-63.623,-53.1681,-157.5099,-59.8459,158.5105,5.5299,66.5221,-176.9897,-163.2268,178.0085,-81.035,39.2906,-0.811481846
1,-36.1832,97.0,-177.0453,93.0444,54.8467,126.5346,157.4576,-0.6627,161.4085,40.3911,-51.2319,-50.7274,-171.0667,-55.7077,168.4937,1.2747,56.487,-174.1465,160.169,-167.6199,-71.8362,51.0249,-0.853561688
1,-36.4564,98.0,175.8294,115.1668,91.107,128.2989,167.4649,-20.8912,178.6898,55.1555,-47.893,-59.2604,-174.9067,-43.5503,155.2029,-0.0337,60.076,176.0234,178.4179,-147.1398,-98.4542,42.3034,-0.860006476
1,-37.5991,99.0,-171.0507,70.9286,66.7378,129.6892,175.1289,-32.2128,178.0408,-55.3386,-76.9501,-66.2616,-170.9562,-61.4697,154.9059,4.6045,71.7953,-171.6872,146.805,-170.9828,-65.2341,38.1615,-0.886962769
1,-50.9297,100.0,-170.8447,91.1801,61.5094,116.3099,161.2883,-48.9743,177.0895,-72.2824,-58.3345,-65.3643,-150.7805,-46.0657,179.8106,12.511,173.265,-163.4232,160.7853,173.5482,-80.79,53.0824,-1.201431623
1,-36.8498,101.0,161.21,154.5132,54.5248,117.4413,166.6285,-60.2914,176.258,-64.0809,-57.4693,-70.8123,171.8548,-86.2746,-178.9055,7.4217,156.4315,161.5118,-150.8314,-167.0356,-52.308,43.8799,-0.8692867820000001
1,-50.0799,102.0,-179.24,72.9696,52.6797,119.1922,158.4337,-164.7959,-179.1458,-74.7686,-55.2901,-60.0289,-177.445,-56.1111,-171.8888,-0.3452,162.7371,-175.2747,173.4566,-142.1499,-83.4705,46.002,-1.181384841
1,-41.0307,103.0,-178.8092,82.0809,83.2126,120.7905,168.2832,-51.3012,171.7978,-75.5611,-70.1905,-45.8675,-164.4221,-74.5703,154.924,-12.3031,177.2923,-169.3659,156.7011,-172.3358,-89.5668,54.0329,-0.967914213
1,-54.4447,104.0,167.6002,97.187,61.0859,121.8315,170.6105,-36.437,167.3355,-67.7997,-52.5856,-42.9974,-164.2471,-65.9355,146.571,0.5287,-178.9868,-177.2452,174.2439,-175.6861,-62.2266,44.3774,-1.284350473
1,-38.85680000000001,105.0,-175.5106,88.164,59.3364,120.5439,160.6313,-43.7065,174.7523,-62.8948,-67.1654,-52.5293,-173.3925,-69.0365,163.7393,-3.9481,175.3027,178.0159,-172.2652,-160.7616,-86.5403,58.232,-0.9166319120000002
1,-44.5277,106.0,-168.8957,90.6605,52.5282,124.3036,162.3811,-53.2708,176.1396,-61.307,-63.6414,-47.6252,-161.0613,-65.6959,149.6667,21.9906,-172.1853,-174.485,160.9772,-179.8862,-79.4146,53.8046,-1.050408443
